Model_number	Min_Scale_V	Max_Scale_V	Mean_Scale_V	RMS_Scale_V	Min	Max	Mean	RMS	Min_Scale_tt	Max_Scale_tt	Mean_Scale_tt	RMS_Scale_tt	Min_Scale_tr	Max_Scale_tr	Mean_Scale_tr	RMS_Scale_tr
187	-0.431464514915	0.261524559092	-0.00272348273277	0.0488735573537	-113.259435165	68.6501967617	-0.714914217352	12.8293088053	-0.316903673526	0.245186542218	-0.000454157834322	0.0450434219311	-0.130810452244	0.233470690515	1.1504440117e-15	0.0315245593264
99	-0.172939184608	0.294897133575	-0.00168326094124	0.0427809698775	-45.3965359596	77.4104975634	-0.441855997076	11.2300045928	-0.20440243835	0.197925482043	-0.000281119575061	0.0404497398089	-0.154276579379	0.219627301531	1.58532103651e-15	0.0358147376592
274	-0.205139349766	0.307730785311	-0.00128159157112	0.0458560405777	-53.8490793136	80.7793311441	-0.336417787419	12.0372106516	-0.231470665213	0.25371800027	0.000644260809268	0.044594722552	-0.142623837482	0.209781119599	-1.84124680435e-16	0.0331430636534
98	-0.183448314163	0.950991984871	-0.000823426209676	0.048054386573	-48.1551824678	249.635396029	-0.21614938004	12.6142764754	-0.372659462475	0.214960848422	-4.90238231671e-05	0.0423487630685	-0.144259864675	0.241868600653	-3.64699376727e-15	0.0367396521735
140	-0.26983845026	0.28949348709	-0.0022387216308	0.0439047558208	-70.8325931934	75.9920403612	-0.587664428085	11.5249984029	-0.34023890665	0.226056809625	-0.000114183697693	0.0427918911694	-0.168897405119	0.23120493375	5.27141699835e-16	0.0364173470981
171	-0.292541162833	0.526666856211	-0.00175902074969	0.0508826714801	-76.7920552438	138.250049755	-0.461742946795	13.3567012635	-0.405621689379	0.296090612618	-0.00118355294355	0.0483791572241	-0.116384705852	0.185283585667	7.77092639649e-16	0.030418958216
208	-0.263493499758	0.303807301663	-0.00350656806837	0.0471642788494	-69.1670436866	79.7494166866	-0.920474117947	12.380623198	-0.284873028627	0.27436362219	-0.00109971934799	0.0444820839536	-0.128583435233	0.226165425197	5.28927007015e-17	0.0324971613702
305	-0.335357485438	0.404501704506	-0.00177610787567	0.0475970511514	-88.0313399274	106.181697433	-0.466228317363	12.4942259273	-0.245928331588	0.240721754793	0.000180475158904	0.0438161984747	-0.124623780743	0.230697326849	5.91579386964e-16	0.0326927190261
96	-0.438072303798	0.329279759075	-0.00251064323905	0.0531885419925	-114.993979747	86.4359367571	-0.65904385025	13.961992273	-0.421299030811	0.263805372203	-0.000687566480782	0.0481183778842	-0.124621998514	0.196500163729	-4.58240744759e-16	0.0310985551705
225	-0.203170280099	0.277533587596	-0.00129060563158	0.0444660236841	-53.3321985261	72.852566744	-0.338783978289	11.6723312171	-0.249465398562	0.245227133729	0.00105937125172	0.0431069676957	-0.184812224106	0.288559839544	-9.08897107884e-15	0.0443753548447
238	-1.00003794436	0.44171767929	-0.00212306228465	0.0503519316621	-262.509960395	115.950890814	-0.557303849722	13.2173820613	-0.51482826995	0.321447121338	0.000152684728496	0.0467312930529	-0.130653972374	0.233644192222	7.10409432824e-16	0.0328598713016
119	-0.20589739114	0.294290904965	-0.00205396928568	0.0437060920732	-54.0480651742	77.2513625533	-0.53916693749	11.4728491692	-0.318641649176	0.283986046282	0.000732436983214	0.0430505741563	-0.153765048991	0.226797262007	-4.56594294804e-16	0.0342024825234
